Source1,Collider,Source2
L C6 Radikulopati,L Skulderbesvär,L C8 Radikulopati
L L2 Radikulopati,Centrala Ljumskbesvär,R L2 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,L L2 Radikulopati
R C4 Radikulopati,R Axelbesvär,R C8 Radikulopati
L T8 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
R C6 Radikulopati,R Skulderbesvär,R C8 Radikulopati
R C4 Radikulopati,Nackbesvär,R C5 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,L T6 Radikulopati
L C2 Radikulopati,Munbesvär,L C3 Radikulopati
L T11 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R C7 Radikulopati,R Armbågsbesvär,R C8 Radikulopati
R C6 Radikulopati,Nackbesvär,L C7 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
R C6 Radikulopati,R Handledsbesvär,R C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
R C4 Radikulopati,R Främre Axelbesvär,R C5 Radikulopati
L T3 Radikulopati,Bröstbesvär,R T5 Radikulopati
L L4 Radikulopati,L Laterala vadbesvär,L S1 Radikulopati
L C3 Radikulopati,Nackbesvär,L C6 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R C3 Radikulopati,Central bröstsmärta,R C4 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
R L2 Radikulopati,Ryggsbesvär,R L4 Radikulopati
R L2 Radikulopati,R Adduktortendalgi,R S1 Radikulopati
L C2 Radikulopati,Nackbesvär,L C7 Radikulopati
L C2 Radikulopati,Svalgbesvär,R C3 Radikulopati
R T8 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R C2 Radikulopati,Nackbesvär,R C6 Radikulopati
R T5 Radikulopati,Torakal Dysfunktion,L T6 Radikulopati
L L4 Radikulopati,L Benbesvär,L S1 Radikulopati
R C3 Radikulopati,Nackbesvär,L C6 Radikulopati
L C4 Radikulopati,L Skulderbesvär,L C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
L L4 Radikulopati,Lumbago,L L5 Radikulopati
L C3 Radikulopati,Nackbesvär,L C7 Radikulopati
L L5 Radikulopati,Lumbago,L S1 Radikulopati
L L5 Radikulopati,L Lårbesvär,L S1 Radikulopati
R C6 Radikulopati,R Under armsbesvär,R C7 Radikulopati
L L5 Radikulopati,L Ischias,L S1 Radikulopati
L T6 Radikulopati,Övre bukbesvär,R T6 Radikulopati
L T12 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
R L4 Radikulopati,R Benbesvär,R S1 Radikulopati
L C6 Radikulopati,Nackbesvär,L C7 Radikulopati
R L1 Radikulopati,R Adduktortendalgi,R L2 Radikulopati
L L1 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
R C2 Radikulopati,Nackbesvär,L C6 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,L T11 Radikulopati
R L5 Radikulopati,R Ischias,R S2 Radikulopati
L T6 Radikulopati,Övre bukbesvär,L T8 Radikulopati
R C2 Radikulopati,Svalgbesvär,R C3 Radikulopati
L T7 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T8 Radikulopati
R T6 Radikulopati,Övre bukbesvär,L T8 Radikulopati
R C7 Radikulopati,R Handbesvär,R C8 Radikulopati
L L5 Radikulopati,L Skinkbesvär,L S1 Radikulopati
R T12 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
L C4 Radikulopati,L Skulderbesvär,L C5 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
R T12 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
L L3 Radikulopati,Lumbago,L S1 Radikulopati
L T4 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T10 Radikulopati
L L4 Radikulopati,L Knäbesvär,L S1 Radikulopati
R T3 Radikulopati,Bröstbesvär,L T5 Radikulopati
L T4 Radikulopati,L Bröstbesvär,L T5 Radikulopati
R L5 Radikulopati,R Vadbesvär,R S1 Radikulopati
R C8 Radikulopati,R Armvecksbesvär,R T1 Radikulopati
R T7 Radikulopati,Övre bukbesvär,R T8 Radikulopati
L C2 Radikulopati,Pannhuvudvärk,L C3 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T7 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,R T9 Radikulopati
L L4 Radikulopati,L Lårbesvär,L L5 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
L T10 Radikulopati,L Nedre bukbesvär,L L1 Radikulopati
L C2 Radikulopati,Svalgbesvär,R C2 Radikulopati
R L3 Radikulopati,R Benbesvär,R L4 Radikulopati
L C2 Radikulopati,Nackbesvär,R C7 Radikulopati
R C4 Radikulopati,Nackbesvär,R C7 Radikulopati
L S1 Radikulopati,L Ischias,L S2 Radikulopati
R T6 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
L C3 Radikulopati,L Central bröstsmärta,L C4 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,L T4 Radikulopati
R C7 Radikulopati,R Mediala armbågsbesvär,R C8 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R C5 Radikulopati,Nackbesvär,R C7 Radikulopati
R L3 Radikulopati,R Lumbago,R L4 Radikulopati
L L1 Radikulopati,Centrala Ljumskbesvär,R L2 Radikulopati
L T11 Radikulopati,Nedre bukbesvär,L T12 Radikulopati
L T9 Radikulopati,L Nedre bukbesvär,L T10 Radikulopati
R T7 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
R L4 Radikulopati,R Benbesvär,R L5 Radikulopati
R C4 Radikulopati,R Nackbesvär,R C5 Radikulopati
L T6 Radikulopati,Övre bukbesvär,L T7 Radikulopati
R C2 Radikulopati,Nackbesvär,R C3 Radikulopati
R T6 Radikulopati,Övre bukbesvär,R T7 Radikulopati
R C5 Radikulopati,Interskapulära besvär,R C6 Radikulopati
DLS C1-C2,R C2 Radikulopati,Kraniocervikal ledskada
R L5 Radikulopati,R Lårbesvär,R S1 Radikulopati
R C3 Radikulopati,R Nackbesvär,R C5 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,R T11 Radikulopati
L C6 Radikulopati,Nackbesvär,R C6 Radikulopati
L T11 Radikulopati,L Nedre bukbesvär,L T12 Radikulopati
R C2 Radikulopati,Munbesvär,L C3 Radikulopati
L C2 Radikulopati,Nackbesvär,L C5 Radikulopati
L L2 Radikulopati,Lumbago,L L5 Radikulopati
L C4 Radikulopati,L Nackbesvär,L C7 Radikulopati
R C3 Radikulopati,Nackbesvär,R C4 Radikulopati
R C3 Radikulopati,Nackbesvär,L C4 Radikulopati
R L3 Radikulopati,Ryggsbesvär,R L4 Radikulopati
L L5 Radikulopati,L Vadbesvär,L S1 Radikulopati
R L2 Radikulopati,R Lumbago,R L5 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
R L1 Radikulopati,R Laterala ljumskbesvär,R L2 Radikulopati
R T12 Radikulopati,Nedre bukbesvär,L L2 Radikulopati
L C5 Radikulopati,L Interskapulära besvär,L C6 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
R T3 Radikulopati,R Bröstbesvär,R T4 Radikulopati
R C2 Radikulopati,R Pannhuvudvärk,R C3 Radikulopati
R C2 Radikulopati,R Nackbesvär,R C6 Radikulopati
R C6 Radikulopati,R Skulderbesvär,R C7 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
L C7 Radikulopati,Nackbesvär,R C7 Radikulopati
R C5 Radikulopati,R Skulderbesvär,R C6 Radikulopati
R T6 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,L T3 Radikulopati
R C7 Radikulopati,R Axelbesvär,R C8 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,R T5 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L T11 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,R T10 Radikulopati
L C3 Radikulopati,Nackbesvär,R C5 Radikulopati
R T6 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
L T10 Radikulopati,Nedre bukbesvär,L L2 Radikulopati
L T12 Radikulopati,L Nedre bukbesvär,L L2 Radikulopati
R C4 Radikulopati,R Skulderbesvär,R C7 Radikulopati
R C6 Radikulopati,R Armbesvär,R C7 Radikulopati
R C2 Radikulopati,Svalgbesvär,L C3 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
R T6 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
R L2 Radikulopati,R Lumbago,R S1 Radikulopati
L T11 Radikulopati,Bukbesvär,R T12 Radikulopati
L L1 Radikulopati,Centrala Ljumskbesvär,L L2 Radikulopati
R T3 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
R L3 Radikulopati,R Benbesvär,R S1 Radikulopati
L C2 Radikulopati,Pannhuvudvärk,R C2 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
L L2 Radikulopati,Lumbago,L L3 Radikulopati
L T7 Radikulopati,Bukbesvär,R T12 Radikulopati
R L2 Radikulopati,R Lumbago,R L3 Radikulopati
R T5 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
R C2 Radikulopati,Nackbesvär,R C7 Radikulopati
R T4 Radikulopati,Bröstbesvär,R T5 Radikulopati
L L2 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
L T9 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
L L1 Radikulopati,L Nedre bukbesvär,L L2 Radikulopati
L C4 Radikulopati,Nackbesvär,R C7 Radikulopati
L C4 Radikulopati,Nackbesvär,R C5 Radikulopati
R L3 Radikulopati,R Främre lårbesvär,R L4 Radikulopati
L T4 Radikulopati,Bröstbesvär,L T5 Radikulopati
R C5 Radikulopati,R Axelbesvär,R C8 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
R L4 Radikulopati,R Höftbesvär,R L5 Radikulopati
L L4 Radikulopati,L Benbesvär,L L5 Radikulopati
L T12 Radikulopati,Bukbesvär,R L1 Radikulopati
R L5 Radikulopati,R Fotbesvär,R S1 Radikulopati
L C3 Radikulopati,Nackbesvär,L C4 Radikulopati
L T9 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
L C3 Radikulopati,Nackbesvär,L C5 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,L L2 Radikulopati
L T7 Radikulopati,Övre bukbesvär,R T8 Radikulopati
R C5 Radikulopati,R Axel impingement,R C6 Radikulopati
L T10 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
R C4 Radikulopati,Nackbesvär,L C5 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
R T6 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L T11 Radikulopati,Bukbesvär,R L1 Radikulopati
L L4 Radikulopati,L Mediala knäledsbesvär,L L5 Radikulopati
L T3 Radikulopati,Bröstbesvär,L T4 Radikulopati
R L3 Radikulopati,Ryggsbesvär,R L5 Radikulopati
R C4 Radikulopati,R Skulderbesvär,R C6 Radikulopati
L L4 Radikulopati,L Laterala vadbesvär,L L5 Radikulopati
L T6 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
R C5 Radikulopati,R Främre Axelbesvär,R C6 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T8 Radikulopati
L T12 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R C6 Radikulopati,R Handbesvär,R C7 Radikulopati
R T3 Radikulopati,Bröstbesvär,L T4 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R L5 Radikulopati,R Lumbago,R S1 Radikulopati
L T10 Radikulopati,L Nedre bukbesvär,L T12 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
L L3 Radikulopati,L Främre lårbesvär,L L4 Radikulopati
L T6 Radikulopati,Torakal Dysfunktion,R T6 Radikulopati
L C5 Radikulopati,Interskapulära besvär,R C5 Radikulopati
L C4 Radikulopati,Nackbesvär,L C7 Radikulopati
R T4 Radikulopati,R Bröstbesvär,R T5 Radikulopati
L T10 Radikulopati,Nedre bukbesvär,R T11 Radikulopati
DLS C3-C4,L C4 Radikulopati,Kraniocervikal ledskada
R C2 Radikulopati,Nackbesvär,L C5 Radikulopati
R C4 Radikulopati,Nackbesvär,L C7 Radikulopati
R C5 Radikulopati,R Nackbesvär,R C6 Radikulopati
L T8 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R T11 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
R C2 Radikulopati,R Nackbesvär,R C3 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L T11 Radikulopati,L Nedre bukbesvär,L L2 Radikulopati
R L4 Radikulopati,Ryggsbesvär,R S1 Radikulopati
R C4 Radikulopati,Nackbesvär,L C6 Radikulopati
R C2 Radikulopati,R Nackbesvär,R C7 Radikulopati
L L5 Radikulopati,L Laterala vadbesvär,L S1 Radikulopati
L C5 Radikulopati,L Skulderbesvär,L C7 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T9 Radikulopati
R C3 Radikulopati,Nackbesvär,L C5 Radikulopati
L C4 Radikulopati,L Nackbesvär,L C6 Radikulopati
L L2 Radikulopati,L Lumbago,L L3 Radikulopati
R C5 Radikulopati,Nackbesvär,L C6 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,L T4 Radikulopati
L T7 Radikulopati,Bukbesvär,L T12 Radikulopati
L T4 Radikulopati,Bröstbesvär,R T5 Radikulopati
L C5 Radikulopati,Interskapulära besvär,R C6 Radikulopati
R C6 Radikulopati,R Armbågsbesvär,R C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
L C4 Radikulopati,Nackbesvär,L C5 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R C5 Radikulopati,Interskapulära besvär,L C6 Radikulopati
R T4 Radikulopati,Bröstbesvär,L T5 Radikulopati
R C2 Radikulopati,Munbesvär,R C3 Radikulopati
R T3 Radikulopati,Torakal Dysfunktion,R T4 Radikulopati
R C5 Radikulopati,R Interskapulära besvär,R C6 Radikulopati
L C3 Radikulopati,Pannhuvudvärk,R C3 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
R C4 Radikulopati,R Nackbesvär,R C7 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
R C5 Radikulopati,R Armbågsbesvär,R C7 Radikulopati
L C2 Radikulopati,L Nackbesvär,L C7 Radikulopati
R C6 Radikulopati,R Axelbesvär,R C8 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
L T5 Radikulopati,Bröstbesvär,R T5 Radikulopati
R L3 Radikulopati,R Lumbago,R S1 Radikulopati
L T11 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
R C4 Radikulopati,R Axel impingement,R C5 Radikulopati
