Source,Target
DLS C1-C2,R C2 Radikulopati
L C2 Radikulopati,L Nackbesvär
L C2 Radikulopati,Nackbesvär
L C2 Radikulopati,Huvudvärk
L C2 Radikulopati,L Käkbesvär
L C2 Radikulopati,Munbesvär
L C2 Radikulopati,Pannhuvudvärk
L C2 Radikulopati,Svalgbesvär
R C2 Radikulopati,Nackbesvär
R C2 Radikulopati,R Nackbesvär
R C2 Radikulopati,R Ögonbesvär
R C2 Radikulopati,R Öronbesvär
R C2 Radikulopati,Huvudvärk
R C2 Radikulopati,Munbesvär
R C2 Radikulopati,Pannhuvudvärk
R C2 Radikulopati,R Pannhuvudvärk
R C2 Radikulopati,Svalgbesvär
R C2 Radikulopati,R Käkbesvär
DLS C2-C3,L C3 Radikulopati
DLS C2-C3,R C3 Radikulopati
L C3 Radikulopati,Nackbesvär
L C3 Radikulopati,Munbesvär
L C3 Radikulopati,Pannhuvudvärk
L C3 Radikulopati,Svalgbesvär
L C3 Radikulopati,Bakhuvudvärk
L C3 Radikulopati,L Central bröstsmärta
R C3 Radikulopati,Nackbesvär
R C3 Radikulopati,R Nackbesvär
R C3 Radikulopati,Munbesvär
R C3 Radikulopati,Pannhuvudvärk
R C3 Radikulopati,R Pannhuvudvärk
R C3 Radikulopati,Svalgbesvär
R C3 Radikulopati,R Käkbesvär
R C3 Radikulopati,Bakhuvudvärk
R C3 Radikulopati,R Bakhuvudvärk
R C3 Radikulopati,R Nyckelbensbesvär
R C3 Radikulopati,Central bröstsmärta
DLS C3-C4,L C4 Radikulopati
DLS C3-C4,R C4 Radikulopati
L C4 Radikulopati,L Nackbesvär
L C4 Radikulopati,Nackbesvär
L C4 Radikulopati,L Nyckelbensbesvär
L C4 Radikulopati,L Central bröstsmärta
L C4 Radikulopati,L Axelbesvär
L C4 Radikulopati,L Skulderbesvär
R C4 Radikulopati,Nackbesvär
R C4 Radikulopati,R Nackbesvär
R C4 Radikulopati,R Nyckelbensbesvär
R C4 Radikulopati,Central bröstsmärta
R C4 Radikulopati,R Främre Axelbesvär
R C4 Radikulopati,R Axel impingement
R C4 Radikulopati,R Axelbesvär
R C4 Radikulopati,R Skulderbesvär
DLS C4-C5,L C5 Radikulopati
DLS C4-C5,R C5 Radikulopati
L C5 Radikulopati,Nackbesvär
L C5 Radikulopati,L Skulderbesvär
L C5 Radikulopati,Interskapulära besvär
L C5 Radikulopati,L Interskapulära besvär
R C5 Radikulopati,Nackbesvär
R C5 Radikulopati,R Nackbesvär
R C5 Radikulopati,R Främre Axelbesvär
R C5 Radikulopati,R Axel impingement
R C5 Radikulopati,R Axelbesvär
R C5 Radikulopati,R Skulderbesvär
R C5 Radikulopati,Interskapulära besvär
R C5 Radikulopati,R Interskapulära besvär
R C5 Radikulopati,R Laterala armbågsbesvär
R C5 Radikulopati,R Armbågsbesvär
DLS C5-C6,L C6 Radikulopati
DLS C5-C6,R C6 Radikulopati
L C6 Radikulopati,L Nackbesvär
L C6 Radikulopati,Nackbesvär
L C6 Radikulopati,L Axelbesvär
L C6 Radikulopati,L Skulderbesvär
L C6 Radikulopati,Interskapulära besvär
L C6 Radikulopati,L Interskapulära besvär
L C6 Radikulopati,L Laterala armbågsbesvär
L C6 Radikulopati,L Tumbesvär
L C6 Radikulopati,L Handledsbesvär
R C6 Radikulopati,Nackbesvär
R C6 Radikulopati,R Nackbesvär
R C6 Radikulopati,R Främre Axelbesvär
R C6 Radikulopati,R Axel impingement
R C6 Radikulopati,R Axelbesvär
R C6 Radikulopati,R Skulderbesvär
R C6 Radikulopati,Interskapulära besvär
R C6 Radikulopati,R Interskapulära besvär
R C6 Radikulopati,R Laterala armbågsbesvär
R C6 Radikulopati,R Armbågsbesvär
R C6 Radikulopati,R Tumbesvär
R C6 Radikulopati,R Handledsbesvär
R C6 Radikulopati,R Under armsbesvär
R C6 Radikulopati,R Handbesvär
R C6 Radikulopati,R Armbesvär
R C6 Radikulopati,R Armvecksbesvär
DLS C6-C7,L C7 Radikulopati
DLS C6-C7,R C7 Radikulopati
L C7 Radikulopati,L Nackbesvär
L C7 Radikulopati,Nackbesvär
L C7 Radikulopati,L Skulderbesvär
R C7 Radikulopati,Nackbesvär
R C7 Radikulopati,R Nackbesvär
R C7 Radikulopati,R Axelbesvär
R C7 Radikulopati,R Skulderbesvär
R C7 Radikulopati,R Armbågsbesvär
R C7 Radikulopati,R Handledsbesvär
R C7 Radikulopati,R Under armsbesvär
R C7 Radikulopati,R Handbesvär
R C7 Radikulopati,R Armbesvär
R C7 Radikulopati,R Armvecksbesvär
R C7 Radikulopati,R Mediala armbågsbesvär
R C7 Radikulopati,R Fingerbesvär
DLS C7-C8,L C8 Radikulopati
DLS C7-C8,R C8 Radikulopati
L C8 Radikulopati,L Axelbesvär
L C8 Radikulopati,L Skulderbesvär
R C8 Radikulopati,R Axelbesvär
R C8 Radikulopati,R Skulderbesvär
R C8 Radikulopati,R Armbågsbesvär
R C8 Radikulopati,R Under armsbesvär
R C8 Radikulopati,R Handbesvär
R C8 Radikulopati,R Armbesvär
R C8 Radikulopati,R Armvecksbesvär
R C8 Radikulopati,R Mediala armbågsbesvär
R C8 Radikulopati,R Fingerbesvär
R C8 Radikulopati,R Lillfingerbesvär
DLS C8-T1,L T1 Radikulopati
DLS C8-T1,R T1 Radikulopati
R T1 Radikulopati,R Armbesvär
R T1 Radikulopati,R Armvecksbesvär
R T1 Radikulopati,Bröstryggsbesvär
DLS T1-T2,L T2 Radikulopati
DLS T1-T2,R T2 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär
DLS T2-T3,L T3 Radikulopati
DLS T2-T3,R T3 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär
L T3 Radikulopati,Bröstbesvär
L T3 Radikulopati,Torakal Dysfunktion
R T3 Radikulopati,Bröstryggsbesvär
R T3 Radikulopati,Bröstbesvär
R T3 Radikulopati,R Bröstbesvär
R T3 Radikulopati,Torakal Dysfunktion
DLS T3-T4,L T4 Radikulopati
DLS T3-T4,R T4 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär
L T4 Radikulopati,Bröstbesvär
L T4 Radikulopati,L Bröstbesvär
L T4 Radikulopati,Torakal Dysfunktion
R T4 Radikulopati,Bröstryggsbesvär
R T4 Radikulopati,Bröstbesvär
R T4 Radikulopati,R Bröstbesvär
R T4 Radikulopati,Torakal Dysfunktion
DLS T4-T5,L T5 Radikulopati
DLS T4-T5,R T5 Radikulopati
L T5 Radikulopati,Bröstbesvär
L T5 Radikulopati,L Bröstbesvär
R T5 Radikulopati,Bröstryggsbesvär
R T5 Radikulopati,Bröstbesvär
R T5 Radikulopati,R Bröstbesvär
R T5 Radikulopati,Torakal Dysfunktion
DLS T5-T6,L T6 Radikulopati
DLS T5-T6,R T6 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär
L T6 Radikulopati,Torakal Dysfunktion
L T6 Radikulopati,Övre bukbesvär
L T6 Radikulopati,Laterala bukbesvär
R T6 Radikulopati,Bröstryggsbesvär
R T6 Radikulopati,Torakal Dysfunktion
R T6 Radikulopati,Övre bukbesvär
DLS T6-T7,L T7 Radikulopati
DLS T6-T7,R T7 Radikulopati
L T7 Radikulopati,Bröstryggsbesvär
L T7 Radikulopati,Torakal Dysfunktion
L T7 Radikulopati,Övre bukbesvär
L T7 Radikulopati,Laterala bukbesvär
L T7 Radikulopati,Bukbesvär
R T7 Radikulopati,Bröstryggsbesvär
R T7 Radikulopati,Torakal Dysfunktion
R T7 Radikulopati,Övre bukbesvär
DLS T7-T8,L T8 Radikulopati
DLS T7-T8,R T8 Radikulopati
L T8 Radikulopati,Bröstryggsbesvär
L T8 Radikulopati,Övre bukbesvär
L T8 Radikulopati,Laterala bukbesvär
R T8 Radikulopati,Bröstryggsbesvär
R T8 Radikulopati,Övre bukbesvär
DLS T8-T9,L T9 Radikulopati
DLS T8-T9,R T9 Radikulopati
L T9 Radikulopati,Laterala bukbesvär
L T9 Radikulopati,L Nedre bukbesvär
L T9 Radikulopati,Nedre bukbesvär
R T9 Radikulopati,Bröstryggsbesvär
R T9 Radikulopati,Nedre bukbesvär
DLS T9-T10,L T10 Radikulopati
DLS T9-T10,R T10 Radikulopati
L T10 Radikulopati,Laterala bukbesvär
L T10 Radikulopati,L Nedre bukbesvär
L T10 Radikulopati,Nedre bukbesvär
R T10 Radikulopati,Bröstryggsbesvär
R T10 Radikulopati,Nedre bukbesvär
DLS T10-T11,L T11 Radikulopati
DLS T10-T11,R T11 Radikulopati
L T11 Radikulopati,Laterala bukbesvär
L T11 Radikulopati,Bukbesvär
L T11 Radikulopati,L Nedre bukbesvär
L T11 Radikulopati,Nedre bukbesvär
R T11 Radikulopati,Nedre bukbesvär
DLS T11-T12,L T12 Radikulopati
DLS T11-T12,R T12 Radikulopati
L T12 Radikulopati,Laterala bukbesvär
L T12 Radikulopati,Bukbesvär
L T12 Radikulopati,L Nedre bukbesvär
L T12 Radikulopati,Nedre bukbesvär
R T12 Radikulopati,Bukbesvär
R T12 Radikulopati,Nedre bukbesvär
DLS T12-L1,L L1 Radikulopati
DLS T12-L1,R L1 Radikulopati
L L1 Radikulopati,L Ljumskbesvär
L L1 Radikulopati,L Mediala ljumskbesvär
L L1 Radikulopati,L Laterala ljumskbesvär
L L1 Radikulopati,Centrala Ljumskbesvär
L L1 Radikulopati,L Adduktortendalgi
L L1 Radikulopati,Laterala bukbesvär
L L1 Radikulopati,L Nedre bukbesvär
L L1 Radikulopati,Nedre bukbesvär
R L1 Radikulopati,Centrala Ljumskbesvär
R L1 Radikulopati,R Laterala ljumskbesvär
R L1 Radikulopati,R Ljumskbesvär
R L1 Radikulopati,R Adduktortendalgi
R L1 Radikulopati,Bukbesvär
DLS L1-L2,L L2 Radikulopati
DLS L1-L2,R L2 Radikulopati
L L2 Radikulopati,L Ljumskbesvär
L L2 Radikulopati,L Mediala ljumskbesvär
L L2 Radikulopati,L Laterala ljumskbesvär
L L2 Radikulopati,Centrala Ljumskbesvär
L L2 Radikulopati,L Adduktortendalgi
L L2 Radikulopati,L Höftbesvär
L L2 Radikulopati,L Lumbago
L L2 Radikulopati,Lumbago
L L2 Radikulopati,Laterala bukbesvär
L L2 Radikulopati,L Nedre bukbesvär
L L2 Radikulopati,Nedre bukbesvär
R L2 Radikulopati,Centrala Ljumskbesvär
R L2 Radikulopati,R Laterala ljumskbesvär
R L2 Radikulopati,R Ljumskbesvär
R L2 Radikulopati,R Adduktortendalgi
R L2 Radikulopati,Ryggsbesvär
R L2 Radikulopati,R Lumbago
R L2 Radikulopati,Nedre bukbesvär
DLS L2-L3,L L3 Radikulopati
DLS L2-L3,R L3 Radikulopati
L L3 Radikulopati,L Höftbesvär
L L3 Radikulopati,L Lumbago
L L3 Radikulopati,Lumbago
L L3 Radikulopati,L Främre lårbesvär
L L3 Radikulopati,L Benbesvär
L L3 Radikulopati,L Lårbesvär
R L3 Radikulopati,Ryggsbesvär
R L3 Radikulopati,R Lumbago
R L3 Radikulopati,R Främre lårbesvär
R L3 Radikulopati,R Lårbesvär
R L3 Radikulopati,R Benbesvär
DLS L3-L4,L L4 Radikulopati
DLS L3-L4,R L4 Radikulopati
L L4 Radikulopati,L Lumbago
L L4 Radikulopati,Lumbago
L L4 Radikulopati,L Främre lårbesvär
L L4 Radikulopati,L Benbesvär
L L4 Radikulopati,L Lårbesvär
L L4 Radikulopati,L PFS
L L4 Radikulopati,L Höftkamsbesvär
L L4 Radikulopati,L Mediala knäledsbesvär
L L4 Radikulopati,L Laterala vadbesvär
L L4 Radikulopati,L Knäbesvär
R L4 Radikulopati,R PFS
R L4 Radikulopati,Ryggsbesvär
R L4 Radikulopati,R Lumbago
R L4 Radikulopati,R Främre lårbesvär
R L4 Radikulopati,R Lårbesvär
R L4 Radikulopati,R Benbesvär
R L4 Radikulopati,R Mediala vadbesvär
R L4 Radikulopati,R Höftbesvär
R L4 Radikulopati,R Höftkamsbesvär
R L4 Radikulopati,R Mediala knäledsbesvär
R L4 Radikulopati,R Tibiaperialgi
R L4 Radikulopati,R Knäbesvär
DLS L4-L5,L L5 Radikulopati
DLS L4-L5,R L5 Radikulopati
L L5 Radikulopati,L Lumbago
L L5 Radikulopati,Lumbago
L L5 Radikulopati,L Benbesvär
L L5 Radikulopati,L Lårbesvär
L L5 Radikulopati,L PFS
L L5 Radikulopati,L Höftkamsbesvär
L L5 Radikulopati,L Mediala knäledsbesvär
L L5 Radikulopati,L Laterala vadbesvär
L L5 Radikulopati,L Knäbesvär
L L5 Radikulopati,L Tåledbesvär
L L5 Radikulopati,L Stortårbesvär
L L5 Radikulopati,L Fotbesvär
L L5 Radikulopati,L Fotledsbesvär
L L5 Radikulopati,L Fotvalvsbesvär
L L5 Radikulopati,L Ischias
L L5 Radikulopati,L Skinkbesvär
L L5 Radikulopati,L Vadbesvär
R L5 Radikulopati,R PFS
R L5 Radikulopati,Ryggsbesvär
R L5 Radikulopati,R Lumbago
R L5 Radikulopati,R Lårbesvär
R L5 Radikulopati,R Benbesvär
R L5 Radikulopati,R Höftbesvär
R L5 Radikulopati,R Höftkamsbesvär
R L5 Radikulopati,R Mediala knäledsbesvär
R L5 Radikulopati,R Främre knäbesvär
R L5 Radikulopati,R Tibiaperialgi
R L5 Radikulopati,R Knäbesvär
R L5 Radikulopati,R Stortårbesvär
R L5 Radikulopati,R Fotledsbesvär
R L5 Radikulopati,R Fotvalvsbesvär
R L5 Radikulopati,R Tåledbesvär
R L5 Radikulopati,R Ischias
R L5 Radikulopati,R Skinkbesvär
R L5 Radikulopati,R Fotbesvär
R L5 Radikulopati,R Vadbesvär
DLS L5-S1,L S1 Radikulopati
DLS L5-S1,R S1 Radikulopati
L S1 Radikulopati,L Lumbago
L S1 Radikulopati,Lumbago
L S1 Radikulopati,L Benbesvär
L S1 Radikulopati,L Lårbesvär
L S1 Radikulopati,L Laterala vadbesvär
L S1 Radikulopati,L Knäbesvär
L S1 Radikulopati,L Ischias
L S1 Radikulopati,L Skinkbesvär
L S1 Radikulopati,L Vadbesvär
L S1 Radikulopati,L Dorsala knäledsbesvär
L S1 Radikulopati,L Laterala knäbesvär
L S1 Radikulopati,L Lilltåbesvär
L S1 Radikulopati,L Laterala Fotbesvär
L S1 Radikulopati,Hälbesvär
L S1 Radikulopati,L Hälbesvär
L S1 Radikulopati,L Bakre lårbesvär
L S1 Radikulopati,L Achillesbesvär
L S1 Radikulopati,L Achillestendalgi
L S1 Radikulopati,L Achillodyni
R S1 Radikulopati,R Adduktortendalgi
R S1 Radikulopati,Ryggsbesvär
R S1 Radikulopati,R Lumbago
R S1 Radikulopati,R Lårbesvär
R S1 Radikulopati,R Benbesvär
R S1 Radikulopati,R Knäbesvär
R S1 Radikulopati,R Ischias
R S1 Radikulopati,R Skinkbesvär
R S1 Radikulopati,R Fotbesvär
R S1 Radikulopati,R Tårbesvär
R S1 Radikulopati,R Vadbesvär
R S1 Radikulopati,R Dorsala knäledsbesvär
R S1 Radikulopati,R Laterala knäbesvär
R S1 Radikulopati,R Laterala Fotbesvär
R S1 Radikulopati,R Hälbesvär
R S1 Radikulopati,Hälbesvär
R S1 Radikulopati,R Bakre lårbesvär
R S1 Radikulopati,R Achillesbesvär
R S1 Radikulopati,R Achillestendalgi
R S1 Radikulopati,R Achillodyni
DLS S1-S2,L S2 Radikulopati
DLS S1-S2,R S2 Radikulopati
L S2 Radikulopati,L Adduktortendalgi
L S2 Radikulopati,L Ischias
R S2 Radikulopati,R Adduktortendalgi
R S2 Radikulopati,R Ischias
Kraniocervikal ledskada,L C2 Radikulopati
Kraniocervikal ledskada,L C4 Radikulopati
Kraniocervikal ledskada,R C2 Radikulopati
Kraniocervikal ledskada,R C3 Radikulopati
Kraniocervikal ledskada,R C4 Radikulopati
